"id","运动员","射击环数"
"1","亚历山大.彼得里夫利",10.1
"2","亚历山大.彼得里夫利",8.4
"3","亚历山大.彼得里夫利",10.3
"4","亚历山大.彼得里夫利",10.2
"5","亚历山大.彼得里夫利",10.4
"6","亚历山大.彼得里夫利",9.6
"7","亚历山大.彼得里夫利",10.1
"8","亚历山大.彼得里夫利",10
"9","亚历山大.彼得里夫利",9.9
"10","亚历山大.彼得里夫利",10.2
"11","亚历山大.彼得里夫利",10.8
"12","亚历山大.彼得里夫利",10
"13","亚历山大.彼得里夫利",10.3
"14","亚历山大.彼得里夫利",10.5
"15","亚历山大.彼得里夫利",9.6
"16","亚历山大.彼得里夫利",9.8
"17","亚历山大.彼得里夫利",10.4
"18","亚历山大.彼得里夫利",10.3
"19","亚历山大.彼得里夫利",9.1
"20","亚历山大.彼得里夫利",10.2
"1","拉尔夫.许曼",8.4
"2","拉尔夫.许曼",9.6
"3","拉尔夫.许曼",10.2
"4","拉尔夫.许曼",10.8
"5","拉尔夫.许曼",10.5
"6","拉尔夫.许曼",10.3
"7","拉尔夫.许曼",9.8
"8","拉尔夫.许曼",10.9
"9","拉尔夫.许曼",10.3
"10","拉尔夫.许曼",10
"11","拉尔夫.许曼",9.5
"12","拉尔夫.许曼",10.2
"13","拉尔夫.许曼",10.7
"14","拉尔夫.许曼",10.1
"15","拉尔夫.许曼",10.3
"16","拉尔夫.许曼",9.7
"17","拉尔夫.许曼",9.3
"18","拉尔夫.许曼",10.3
"19","拉尔夫.许曼",10
"20","拉尔夫.许曼",9.6
"1","克里斯蒂安.赖茨",9.9
"2","克里斯蒂安.赖茨",10.7
"3","克里斯蒂安.赖茨",9
"4","克里斯蒂安.赖茨",10.5
"5","克里斯蒂安.赖茨",10.3
"6","克里斯蒂安.赖茨",10.6
"7","克里斯蒂安.赖茨",10
"8","克里斯蒂安.赖茨",7.9
"9","克里斯蒂安.赖茨",10.7
"10","克里斯蒂安.赖茨",10.4
"11","克里斯蒂安.赖茨",9.5
"12","克里斯蒂安.赖茨",9.9
"13","克里斯蒂安.赖茨",10.1
"14","克里斯蒂安.赖茨",9.9
"15","克里斯蒂安.赖茨",10.3
"16","克里斯蒂安.赖茨",9
"17","克里斯蒂安.赖茨",9.8
"18","克里斯蒂安.赖茨",10.8
"19","克里斯蒂安.赖茨",10.3
"20","克里斯蒂安.赖茨",10.7
"1","列昂尼德.叶基莫夫",8.8
"2","列昂尼德.叶基莫夫",10.7
"3","列昂尼德.叶基莫夫",9.7
"4","列昂尼德.叶基莫夫",9.6
"5","列昂尼德.叶基莫夫",10
"6","列昂尼德.叶基莫夫",10.2
"7","列昂尼德.叶基莫夫",10.1
"8","列昂尼德.叶基莫夫",10.2
"9","列昂尼德.叶基莫夫",9.4
"10","列昂尼德.叶基莫夫",10.3
"11","列昂尼德.叶基莫夫",10.4
"12","列昂尼德.叶基莫夫",9.8
"13","列昂尼德.叶基莫夫",8.9
"14","列昂尼德.叶基莫夫",10
"15","列昂尼德.叶基莫夫",10
"16","列昂尼德.叶基莫夫",9.1
"17","列昂尼德.叶基莫夫",9.5
"18","列昂尼德.叶基莫夫",9.8
"19","列昂尼德.叶基莫夫",10.7
"20","列昂尼德.叶基莫夫",10
"1","基思.桑德森",9.7
"2","基思.桑德森",10.5
"3","基思.桑德森",9
"4","基思.桑德森",9.6
"5","基思.桑德森",9
"6","基思.桑德森",9.9
"7","基思.桑德森",9.2
"8","基思.桑德森",9.7
"9","基思.桑德森",9.9
"10","基思.桑德森",8.1
"11","基思.桑德森",9.3
"12","基思.桑德森",10.1
"13","基思.桑德森",10.5
"14","基思.桑德森",10.2
"15","基思.桑德森",10
"16","基思.桑德森",9.9
"17","基思.桑德森",9.5
"18","基思.桑德森",9.7
"19","基思.桑德森",9.9
"20","基思.桑德森",9.9
"1","罗曼.邦达鲁克",9.8
"2","罗曼.邦达鲁克",9.2
"3","罗曼.邦达鲁克",10.3
"4","罗曼.邦达鲁克",7.2
"5","罗曼.邦达鲁克",9.9
"6","罗曼.邦达鲁克",10.5
"7","罗曼.邦达鲁克",10.4
"8","罗曼.邦达鲁克",10.9
"9","罗曼.邦达鲁克",10.5
"10","罗曼.邦达鲁克",10.3
"11","罗曼.邦达鲁克",10.2
"12","罗曼.邦达鲁克",10
"13","罗曼.邦达鲁克",9.8
"14","罗曼.邦达鲁克",9.2
"15","罗曼.邦达鲁克",8.3
"16","罗曼.邦达鲁克",9
"17","罗曼.邦达鲁克",9.4
"18","罗曼.邦达鲁克",9.8
"19","罗曼.邦达鲁克",10.4
"20","罗曼.邦达鲁克",9.6
