"","满意度","地区"
"1","满意","东部"
"2","满意","东部"
"3","满意","东部"
"4","满意","东部"
"5","满意","东部"
"6","满意","东部"
"7","满意","东部"
"8","满意","东部"
"9","满意","东部"
"10","满意","东部"
"11","满意","东部"
"12","满意","东部"
"13","满意","东部"
"14","满意","东部"
"15","满意","东部"
"16","满意","东部"
"17","满意","东部"
"18","满意","东部"
"19","满意","东部"
"20","满意","东部"
"21","满意","东部"
"22","满意","东部"
"23","满意","东部"
"24","满意","东部"
"25","满意","东部"
"26","满意","东部"
"27","满意","东部"
"28","满意","东部"
"29","满意","东部"
"30","满意","东部"
"31","满意","东部"
"32","满意","东部"
"33","满意","东部"
"34","满意","东部"
"35","满意","东部"
"36","满意","东部"
"37","满意","东部"
"38","满意","东部"
"39","满意","东部"
"40","满意","东部"
"41","满意","东部"
"42","满意","东部"
"43","满意","东部"
"44","满意","东部"
"45","满意","东部"
"46","满意","东部"
"47","满意","东部"
"48","满意","东部"
"49","满意","东部"
"50","满意","东部"
"51","满意","东部"
"52","满意","东部"
"53","满意","东部"
"54","满意","东部"
"55","满意","东部"
"56","满意","东部"
"57","满意","东部"
"58","满意","东部"
"59","满意","东部"
"60","满意","东部"
"61","满意","东部"
"62","满意","东部"
"63","满意","东部"
"64","满意","东部"
"65","满意","东部"
"66","满意","东部"
"67","满意","东部"
"68","满意","东部"
"69","满意","东部"
"70","满意","东部"
"71","满意","东部"
"72","满意","东部"
"73","满意","东部"
"74","满意","东部"
"75","满意","东部"
"76","满意","东部"
"77","满意","东部"
"78","满意","东部"
"79","满意","东部"
"80","满意","东部"
"81","满意","东部"
"82","满意","东部"
"83","满意","东部"
"84","满意","东部"
"85","满意","东部"
"86","满意","东部"
"87","满意","东部"
"88","满意","东部"
"89","满意","东部"
"90","满意","东部"
"91","满意","东部"
"92","满意","东部"
"93","满意","东部"
"94","满意","东部"
"95","满意","东部"
"96","满意","东部"
"97","满意","东部"
"98","满意","东部"
"99","满意","东部"
"100","满意","东部"
"101","满意","东部"
"102","满意","东部"
"103","满意","东部"
"104","满意","东部"
"105","满意","东部"
"106","满意","东部"
"107","满意","东部"
"108","满意","东部"
"109","满意","东部"
"110","满意","东部"
"111","满意","东部"
"112","满意","东部"
"113","满意","东部"
"114","满意","东部"
"115","满意","东部"
"116","满意","东部"
"117","满意","东部"
"118","满意","东部"
"119","满意","东部"
"120","满意","东部"
"121","满意","东部"
"122","满意","东部"
"123","满意","东部"
"124","满意","东部"
"125","满意","东部"
"126","满意","东部"
"127","不满意","东部"
"128","不满意","东部"
"129","不满意","东部"
"130","不满意","东部"
"131","不满意","东部"
"132","不满意","东部"
"133","不满意","东部"
"134","不满意","东部"
"135","不满意","东部"
"136","不满意","东部"
"137","不满意","东部"
"138","不满意","东部"
"139","不满意","东部"
"140","不满意","东部"
"141","不满意","东部"
"142","不满意","东部"
"143","不满意","东部"
"144","不满意","东部"
"145","不满意","东部"
"146","不满意","东部"
"147","不满意","东部"
"148","不满意","东部"
"149","不满意","东部"
"150","不满意","东部"
