"","地块","品种","产量"
"1","1","品种1",81
"2","2","品种1",82
"3","3","品种1",79
"4","4","品种1",81
"5","5","品种1",78
"6","6","品种1",89
"7","7","品种1",92
"8","8","品种1",87
"9","9","品种1",85
"10","10","品种1",86
"11","1","品种2",71
"12","2","品种2",72
"13","3","品种2",72
"14","4","品种2",66
"15","5","品种2",72
"16","6","品种2",77
"17","7","品种2",81
"18","8","品种2",77
"19","9","品种2",73
"20","10","品种2",79
"21","1","品种3",76
"22","2","品种3",79
"23","3","品种3",77
"24","4","品种3",76
"25","5","品种3",78
"26","6","品种3",89
"27","7","品种3",87
"28","8","品种3",84
"29","9","品种3",87
"30","10","品种3",87
