"","品种","施肥方式","产量"
"1","品种1","甲",81
"2","品种1","甲",82
"3","品种1","甲",79
"4","品种1","甲",81
"5","品种1","甲",78
"6","品种1","乙",89
"7","品种1","乙",92
"8","品种1","乙",87
"9","品种1","乙",85
"10","品种1","乙",86
"11","品种2","甲",71
"12","品种2","甲",72
"13","品种2","甲",72
"14","品种2","甲",66
"15","品种2","甲",72
"16","品种2","乙",77
"17","品种2","乙",81
"18","品种2","乙",77
"19","品种2","乙",73
"20","品种2","乙",79
"21","品种3","甲",76
"22","品种3","甲",79
"23","品种3","甲",77
"24","品种3","甲",76
"25","品种3","甲",78
"26","品种3","乙",89
"27","品种3","乙",87
"28","品种3","乙",84
"29","品种3","乙",87
"30","品种3","乙",87
