num,date,tag,number
1,2020-01-24,武汉-确诊,572
2,2020-01-25,武汉-确诊,618
3,2020-01-26,武汉-确诊,698
4,2020-01-27,武汉-确诊,1590
5,2020-01-28,武汉-确诊,1905
6,2020-01-29,武汉-确诊,2261
7,2020-01-30,武汉-确诊,2639
8,2020-01-31,武汉-确诊,3215
9,2020-02-01,武汉-确诊,4109
10,2020-02-02,武汉-确诊,5142
11,2020-02-03,武汉-确诊,6384
12,2020-02-04,武汉-确诊,8351
13,2020-02-05,武汉-确诊,10117
14,2020-02-06,武汉-确诊,11618
15,2020-02-07,武汉-确诊,11618
16,2020-02-08,武汉-确诊,13603
17,2020-02-09,武汉-确诊,14982
18,2020-02-10,武汉-确诊,16902
19,2020-02-11,武汉-确诊,18454
20,2020-02-12,武汉-确诊,19558
21,2020-02-13,武汉-确诊,32994
22,2020-02-14,武汉-确诊,35991
23,2020-02-15,武汉-确诊,37914
24,2020-02-16,武汉-确诊,39462
25,2020-02-17,武汉-确诊,41152
26,2020-02-18,武汉-确诊,42752
27,2020-02-19,武汉-确诊,44412
28,2020-02-20,武汉-确诊,45027
29,2020-02-21,武汉-确诊,45346
30,2020-02-22,武汉-确诊,45660
31,2020-02-23,武汉-确诊,46201
32,2020-02-24,武汉-确诊,46607
33,2020-02-25,武汉-确诊,47071
34,2020-02-26,武汉-确诊,47441
35,2020-02-27,武汉-确诊,47824
36,2020-02-28,武汉-确诊,48137
37,2020-02-29,武汉-确诊,48557
38,2020-03-01,武汉-确诊,49122
39,2020-03-02,武汉-确诊,49315
40,2020-03-03,武汉-确诊,49426
41,2020-03-04,武汉-确诊,49540
42,2020-03-05,武汉-确诊,49671
43,2020-03-06,武汉-确诊,49797
44,2020-03-07,武汉-确诊,49871
45,2020-01-24,武汉-治愈,0
46,2020-01-25,武汉-治愈,0
47,2020-01-26,武汉-治愈,0
48,2020-01-27,武汉-治愈,0
49,2020-01-28,武汉-治愈,0
50,2020-01-29,武汉-治愈,0
51,2020-01-30,武汉-治愈,0
52,2020-01-31,武汉-治愈,0
53,2020-02-01,武汉-治愈,0
54,2020-02-02,武汉-治愈,0
55,2020-02-03,武汉-治愈,0
56,2020-02-04,武汉-治愈,0
57,2020-02-05,武汉-治愈,0
58,2020-02-06,武汉-治愈,0
59,2020-02-07,武汉-治愈,498
60,2020-02-08,武汉-治愈,662
61,2020-02-09,武汉-治愈,841
62,2020-02-10,武汉-治愈,1044
63,2020-02-11,武汉-治愈,1243
64,2020-02-12,武汉-治愈,1377
65,2020-02-13,武汉-治愈,1922
66,2020-02-14,武汉-治愈,2016
67,2020-02-15,武汉-治愈,2602
68,2020-02-16,武汉-治愈,2937
69,2020-02-17,武汉-治愈,3458
70,2020-02-18,武汉-治愈,4253
71,2020-02-19,武汉-治愈,4990
72,2020-02-20,武汉-治愈,5573
73,2020-02-21,武汉-治愈,6280
74,2020-02-22,武汉-治愈,7278
75,2020-02-23,武汉-治愈,8186
76,2020-02-24,武汉-治愈,8950
77,2020-02-25,武汉-治愈,10364
78,2020-02-26,武汉-治愈,11816
79,2020-02-27,武汉-治愈,13474
80,2020-02-28,武汉-治愈,15853
81,2020-02-29,武汉-治愈,17656
82,2020-03-01,武汉-治愈,19534
83,2020-03-02,武汉-治愈,21349
84,2020-03-03,武汉-治愈,23063
85,2020-03-04,武汉-治愈,24892
86,2020-03-05,武汉-治愈,26404
87,2020-03-06,武汉-治愈,27420
88,2020-03-07,武汉-治愈,28563
89,2020-01-24,湖北-确诊,729
90,2020-01-25,湖北-确诊,1052
91,2020-01-26,湖北-确诊,1423
92,2020-01-27,湖北-确诊,2714
93,2020-01-28,湖北-确诊,3554
94,2020-01-29,湖北-确诊,4586
95,2020-01-30,湖北-确诊,5806
96,2020-01-31,湖北-确诊,7153
97,2020-02-01,湖北-确诊,9074
98,2020-02-02,湖北-确诊,11177
99,2020-02-03,湖北-确诊,13522
100,2020-02-04,湖北-确诊,16678
101,2020-02-05,湖北-确诊,19665
102,2020-02-06,湖北-确诊,22112
103,2020-02-07,湖北-确诊,24953
104,2020-02-08,湖北-确诊,27013
105,2020-02-09,湖北-确诊,29631
106,2020-02-10,湖北-确诊,31728
107,2020-02-11,湖北-确诊,33366
108,2020-02-12,湖北-确诊,47163
109,2020-02-13,湖北-确诊,51986
110,2020-02-14,湖北-确诊,54406
111,2020-02-15,湖北-确诊,56249
112,2020-02-16,湖北-确诊,58182
113,2020-02-17,湖北-确诊,59989
114,2020-02-18,湖北-确诊,61682
115,2020-02-19,湖北-确诊,62457
116,2020-02-20,湖北-确诊,63088
117,2020-02-21,湖北-确诊,63454
119,2020-02-22,湖北-确诊,63889
121,2020-02-23,湖北-确诊,64287
123,2020-02-24,湖北-确诊,64786
124,2020-02-25,湖北-确诊,65187
125,2020-02-26,湖北-确诊,65596
126,2020-02-27,湖北-确诊,65914
127,2020-02-28,湖北-确诊,66337
128,2020-02-29,湖北-确诊,66907
129,2020-03-01,湖北-确诊,67103
130,2020-03-02,湖北-确诊,67217
